gene_list	this_sample
GNRHR	2.5
TMPRSS11D	1.9
TMPRSS11A	0.5
TMPRSS11F	0.0
TMPRSS11B	0.0
YTHDC1	55.6
TMPRSS11E	0.0
UGT2B17	0.0
UGT2B15	1.3
UGT2B10	0.0
UGT2A3	2.0
UGT2B7	3.5
UGT2B11	0.0
UGT2B28	0.0
UGT2B4	0.0
UGT2A1	0.0
UGT2A2	0.0
SULT1B1	15.1
AC108941.2	0.0
SULT1E1	0.3
CSN1S1	0.0
CSN2	0.0
STATH	0.0
HTN3	0.0
HTN1	0.0
PRR27	0.0
ODAM	0.0
FDCSP	0.0
CSN3	0.0
CABS1	0.0
SMR3A	0.0
SMR3B	0.0
OPRPN	0.0
MUC7	0.0
AMTN	0.0
AMBN	0.0
ENAM	1.2
JCHAIN	2.0
UTP3	28.1
RUFY3	83.1
GRSF1	30.3
MOB1B	16.9
DCK	16.3
SLC4A4	9.0
GC	0.5
NPFFR2	0.1
ADAMTS3	1.0
COX18	9.0
ANKRD17	77.2
ALB	0.2
AFP	0.0
AFM	0.0
RASSF6	70.9
CXCL8	18.6
CXCL6	0.0
PF4V1	0.0
CXCL1	17.5
PF4	0.4
PPBP	0.0
CXCL5	478.8
CXCL3	41.2
CXCL2	35.0
MTHFD2L	23.2
EPGN	1.9
EREG	9.7
AREG	3.1
BTC	7.9
PARM1	36.9
RCHY1	18.4
THAP6	31.2
ODAPH	0.0
CDKL2	1.3
G3BP2	100.6
USO1	58.3
PPEF2	0.0
NAAA	10.8
SDAD1	29.8
CXCL9	14.1
ART3	0.4
CXCL10	20.0
CXCL11	1.7
NUP54	37.4
SCARB2	109.3
FAM47E	1.9
FAM47E-STBD1	8.5
STBD1	5.8
CCDC158	0.3
SHROOM3	64.1
SOWAHB	3.4
SEPTIN11	95.9
CCNI	185.4
CCNG2	28.8
CXCL13	2.7
CNOT6L	24.6
MRPL1	18.0
FRAS1	1.7
ANXA3	131.6
BMP2K	45.1
PAQR3	12.6
NAA11	0.0
GK2	0.0
ANTXR2	87.7
PRDM8	36.0
FGF5	0.1
CFAP299	0.0
BMP3	0.0
PRKG2	1.3
RASGEF1B	28.6
HNRNPD	100.8
HNRNPDL	222.3
ENOPH1	17.8
TMEM150C	4.3
SCD5	1.8
SEC31A	231.2
THAP9	4.5
LIN54	18.1
COPS4	18.5
PLAC8	113.3
COQ2	13.6
HPSE	3.7
HELQ	11.9
MRPS18C	14.2
ABRAXAS1	10.5
GPAT3	15.4
NKX6-1	0.0
CDS1	1.8
WDFY3	47.5
ARHGAP24	18.1
MAPK10	12.2
PTPN13	10.7
SLC10A6	1.8
C4orf36	1.1
AC093827.5	4.8
AFF1	84.7
KLHL8	5.2
HSD17B13	2.1
HSD17B11	128.2
NUDT9	12.7
SPARCL1	52.7
DSPP	0.5
DMP1	1.2
IBSP	8.4
MEPE	0.0
SPP1	650.5
PKD2	25.6
ABCG2	1.4
PPM1K	12.7
HERC6	32.0
HERC5	3.6
PYURF	26.2
AC098582.1	1.5
HERC3	29.9
NAP1L5	2.6
FAM13A	57.1
TIGD2	11.1
GPRIN3	10.8
SNCA	26.6
MMRN1	0.6
CCSER1	14.5
GRID2	0.0
ATOH1	0.0
SMARCAD1	35.8
HPGDS	13.0
PDLIM5	153.4
BMPR1B	2.1
UNC5C	2.9
PDHA2	0.0
STPG2	2.6
RAP1GDS1	36.1
TSPAN5	3.8
EIF4E	35.9
METAP1	30.4
ADH5	62.9
ADH4	0.2
ADH6	4.0
ADH1A	0.4
ADH1B	0.1
ADH1C	39.6
ADH7	0.0
C4orf17	0.0
TRMT10A	3.5
MTTP	0.0
C4orf54	0.0
DAPP1	13.9
LAMTOR3	25.1
DNAJB14	49.4
H2AZ1	79.4
DDIT4L	0.1
EMCN	5.6
PPP3CA	71.5
BANK1	3.1
SLC39A8	6.8
NFKB1	36.1
MANBA	31.6
UBE2D3	209.3
CISD2	9.6
SLC9B1	0.9
SLC9B2	24.1
BDH2	41.5
CENPE	8.2
TACR3	0.0
CXXC4	2.0
TET2	30.7
PPA2	59.0
ARHGEF38	47.1
INTS12	23.1
GSTCD	15.1
NPNT	76.1
TBCK	54.3
AIMP1	36.2
GIMD1	0.0
DKK2	1.5
PAPSS1	28.1
SGMS2	87.5
CYP2U1	3.8
HADH	12.6
LEF1	15.7
RPL34	216.1
OSTC	75.8
ETNPPL	0.1
COL25A1	0.1
SEC24B	34.7
MCUB	20.4
CASP6	19.0
PLA2G12A	7.5
AC126283.2	7.6
CFI	126.1
GAR1	13.0
RRH	0.7
LRIT3	0.3
EGF	0.1
ELOVL6	7.2
ENPEP	6.6
PITX2	2.2
FAM241A	4.2
AP1AR	13.0
TIFA	3.7
ALPK1	52.2
NEUROG2	0.0
ZGRF1	8.5
LARP7	42.4
ANK2	9.6
CAMK2D	65.0
ARSJ	6.1
UGT8	11.5
NDST4	0.0
MTRNR2L13	0.0
TRAM1L1	0.8
NDST3	0.9
PRSS12	59.2
METTL14	13.0
SEC24D	59.0
SYNPO2	6.2
MYOZ2	0.3
USP53	50.1
C4orf3	19.7
FABP2	0.0
PDE5A	39.5
MAD2L1	3.3
PRDM5	9.7
NDNF	0.9
TNIP3	0.9
QRFPR	0.0
ANXA5	402.4
TMEM155	0.0
EXOSC9	25.0
CCNA2	10.8
BBS7	10.2
TRPC3	0.2
KIAA1109	72.6
ADAD1	0.0
IL2	0.0
IL21	0.2
BBS12	5.4
FGF2	25.3
NUDT6	7.9
SPATA5	14.8
SPRY1	88.2
ANKRD50	15.3
FAT4	2.1
INTU	8.7
SLC25A31	0.0
HSPA4L	2.9
PLK4	5.9
MFSD8	37.7
ABHD18	16.9
LARP1B	53.3
PGRMC2	26.5
JADE1	28.3
SCLT1	23.3
C4orf33	7.3
PCDH10	0.0
PABPC4L	1.1
PCDH18	7.5
SLC7A11	27.7
NOCT	18.9
ELF2	68.1
MGARP	0.0
NDUFC1	18.6
NAA15	32.6
RAB33B	8.8
SETD7	35.6
MGST2	74.5
MAML3	16.1
SCOC	41.4
CLGN	0.9
MGAT4D	0.0
ELMOD2	23.4
UCP1	0.2
TBC1D9	12.4
RNF150	0.9
ZNF330	27.6
IL15	13.2
INPP4B	43.3
USP38	18.0
GAB1	18.3
SMARCA5	29.9
FREM3	0.3
GYPE	2.3
GYPB	0.1
GYPA	0.2
AC098588.2	4.8
HHIP	5.1
ANAPC10	22.4
ABCE1	29.6
OTUD4	52.1
SMAD1	24.2
MMAA	11.9
C4orf51	0.0
ZNF827	22.9
LSM6	20.0
REELD1	0.2
SLC10A7	19.8
POU4F2	0.0
TTC29	0.0
EDNRA	15.4
TMEM184C	34.7
PRMT9	10.5
ARHGAP10	19.3
NR3C2	15.6
IQCM	0.0
DCLK2	6.7
LRBA	60.2
MAB21L2	5.8
RPS3A	356.7
SH3D19	54.7
PRSS48	6.0
FAM160A1	5.7
GATB	11.0
FBXW7	35.5
TMEM154	7.5
TIGD4	3.9
ARFIP1	33.4
FHDC1	10.9
TRIM2	23.5
MND1	3.7
TMEM131L	9.5
TLR2	25.4
RNF175	0.8
SFRP2	82.1
DCHS2	1.1
PLRG1	35.4
FGB	0.1
FGA	1.3
FGG	0.0
LRAT	0.2
RBM46	0.0
NPY2R	0.0
MAP9	14.6
GUCY1A1	15.7
GUCY1B1	9.8
ASIC5	0.3
TDO2	1.8
CTSO	13.5
PDGFC	28.0
GLRB	0.6
GRIA2	0.0
GASK1B	31.5
TMEM144	36.1
RXFP1	0.3
C4orf46	4.5
ETFDH	21.7
PPID	25.2
FNIP2	81.2
C4orf45	5.2
RAPGEF2	61.8
FSTL5	0.0
NAF1	17.6
NPY1R	116.4
NPY5R	5.9
TKTL2	0.8
TMA16	39.7
MARCHF1	24.0
SMIM31	3.3
APELA	0.0
TRIM61	1.1
FAM218A	2.6
TRIM60	0.0
TRIM75P	0.6
TMEM192	4.5
KLHL2	15.4
GK3P	3.4
MSMO1	25.1
CPE	17.5
TLL1	0.3
SPOCK3	0.0
ANXA10	135.8
DDX60	104.5
DDX60L	103.0
PALLD	70.5
CBR4	28.1
SH3RF1	49.1
NEK1	14.1
CLCN3	63.0
HPF1	12.2
MFAP3L	5.6
AADAT	4.9
GALNTL6	0.0
GALNT7	31.3
HMGB2	50.4
SAP30	8.2
SCRG1	3.3
HAND2	0.6
FBXO8	14.3
CEP44	18.6
HPGD	35.7
GLRA3	0.0
ADAM29	0.0
GPM6A	0.0
WDR17	3.1
SPATA4	0.3
ASB5	0.0
SPCS3	82.2
VEGFC	6.9
NEIL3	2.9
AGA	9.4
TENM3	3.5
DCTD	62.8
WWC2	33.4
CLDN22	0.0
CLDN24	4.8
CDKN2AIP	26.5
ING2	3.6
RWDD4	10.1
TRAPPC11	30.3
STOX2	1.9
ENPP6	0.2
IRF2	42.5
CASP3	20.5
PRIMPOL	17.0
CENPU	11.4
ACSL1	17.9
HELT	0.0
SLC25A4	11.9
CFAP97	24.6
SNX25	21.1
LRP2BP	5.0
ANKRD37	6.4
UFSP2	16.6
C4orf47	1.4
CCDC110	0.5
PDLIM3	49.0
SORBS2	11.0
TLR3	4.9
FAM149A	5.1
CYP4V2	14.5
KLKB1	1.1
F11	0.0
AC018709.1	0.0
MTNR1A	0.0
FAT1	348.0
ZFP42	0.0
TRIML2	0.0
TRIML1	0.0
FRG1	35.6
FRG2	0.0
DUX4	0.1
PLEKHG4B	1.6
LRRC14B	1.3
CCDC127	14.8
SDHA	159.3
AC021087.5	12.1
PDCD6	183.0
AHRR	12.4
EXOC3	110.8
SLC9A3	21.5
CEP72	42.5
TPPP	13.2
ZDHHC11B	3.2
AC026740.3	1.2
ZDHHC11	33.0
BRD9	110.9
TRIP13	11.9
NKD2	2.8
SLC12A7	114.5
SLC6A19	0.2
SLC6A18	0.0
TERT	0.0
CLPTM1L	105.9
SLC6A3	0.0
LPCAT1	35.6
MRPL36	19.1
NDUFS6	61.2
IRX4	0.0
IRX2	0.1
C5orf38	0.0
IRX1	0.0
ADAMTS16	4.8
ICE1	60.3
MED10	55.0
UBE2QL1	0.2
NSUN2	90.0
SRD5A1	19.7
TENT4A	51.2
ADCY2	0.3
C5orf49	0.1
MTRR	69.9
FASTKD3	17.1
SEMA5A	8.0
TAS2R1	0.0
ATPSCKMT	33.8
CCT5	123.5
CMBL	54.5
MARCHF6	145.9
ROPN1L	0.3
ANKRD33B	8.7
DAP	141.7
CTNND2	0.0
DNAH5	2.0
TRIO	303.8
OTULINL	5.2
OTULIN	58.8
ANKH	78.9
FBXL7	2.9
MARCHF11	0.0
ZNF622	38.8
RETREG1	8.6
MYO10	38.6
BASP1	7.3
LINC02218	0.0
TAF11L2	0.0
TAF11L3	0.0
TAF11L4	0.0
TAF11L5	0.0
TAF11L6	0.0
TAF11L7	0.0
TAF11L8	0.0
TAF11L9	0.0
TAF11L10	0.0
TAF11L11	0.0
TAF11L12	0.0
TAF11L13	0.0
TAF11L14	0.0
H3Y1	0.0
CDH18	0.0
CDH12	0.0
PRDM9	0.0
CDH10	0.0
CDH9	0.0
CDH6	6.0
DROSHA	89.8
C5orf22	32.7
PDZD2	19.4
GOLPH3	66.3
MTMR12	35.1
ZFR	98.2
SUB1	147.5
NPR3	13.7
TARS1	57.0
ADAMTS12	20.5
RXFP3	0.1
SLC45A2	0.4
AMACR	16.5
C1QTNF3-AMACR	3.1
C1QTNF3	13.2
RAI14	78.7
TTC23L	0.5
RAD1	22.9
BRIX1	32.6
DNAJC21	44.7
AGXT2	0.0
PRLR	1.6
SPEF2	29.1
IL7R	2.2
CAPSL	0.0
UGT3A1	0.0
UGT3A2	0.1
LMBRD2	19.9
SKP2	25.2
NADK2	34.8
RANBP3L	0.6
SLC1A3	30.5
NIPBL	78.4
CPLANE1	79.3
NUP155	31.3
WDR70	35.0
GDNF	0.0
EGFLAM	1.6
LIFR	6.9
OSMR	116.0
RICTOR	76.1
FYB1	35.2
C9	1.1
DAB2	230.6
TTC33	19.4
PTGER4	13.5
PRKAA1	131.9
RPL37	750.4
CARD6	39.3
C7	20.0
MROH2B	0.7
C6	1.3
PLCXD3	0.3
OXCT1	12.6
C5orf51	27.9
FBXO4	14.7
GHR	3.4
CCDC152	28.1
SELENOP	53.7
ANXA2R	22.0
ZNF131	103.9
NIM1K	0.6
HMGCS1	30.9
CCL28	17.2
TMEM267	33.4
C5orf34	12.8
PAIP1	54.0
NNT	58.7
FGF10	0.0
MRPS30	64.9
HCN1	0.0
EMB	33.8
PARP8	55.7
ISL1	1.6
PELO	31.6
ITGA1	57.4
ITGA2	108.8
MOCS2	24.4
FST	1.9
NDUFS4	83.6
ARL15	19.9
HSPB3	0.0
SNX18	24.5
ESM1	11.4
GZMK	2.4
GZMA	8.4
CDC20B	0.1
GPX8	37.3
MCIDAS	0.0
CCNO	5.7
DHX29	34.6
MTREX	65.3
PLPP1	21.6
SLC38A9	95.3
DDX4	0.6
IL31RA	2.5
IL6ST	140.7
ANKRD55	0.6
MAP3K1	67.7
SETD9	7.9
MIER3	29.7
GPBP1	129.0
ACTBL2	0.8
PLK2	196.8
GAPT	4.5
RAB3C	2.8
PDE4D	192.0
DEPDC1B	6.9
ELOVL7	1.7
ERCC8	32.4
NDUFAF2	20.7
SMIM15	70.1
ZSWIM6	27.1
KIF2A	62.5
DIMT1	23.6
IPO11	36.9
LRRC70	1.8
HTR1A	0.0
RNF180	6.9
RGS7BP	0.5
SHISAL2B	0.7
SREK1IP1	34.2
CWC27	27.7
ADAMTS6	25.9
CENPK	32.5
PPWD1	162.9
TRIM23	34.9
TRAPPC13	35.6
SHLD3	8.8
SGTB	6.7
NLN	11.6
ERBIN	191.6
SREK1	162.8
MAST4	39.4
CD180	3.8
PIK3R1	57.0
SLC30A5	40.3
CCNB1	31.5
CENPH	5.4
MRPS36	24.2
CDK7	44.2
CCDC125	34.7
AK6	30.8
TAF9	48.0
RAD17	32.8
MARVELD2	55.8
OCLN	55.2
GTF2H2C	57.8
SERF1B	22.6
SMN2	74.3
SERF1A	20.0
SMN1	59.7
NAIP	44.1
GTF2H2	36.7
BDP1	69.4
MCCC2	65.0
CARTPT	0.0
MAP1B	50.6
MRPS27	56.3
PTCD2	9.1
ZNF366	2.6
TNPO1	104.3
FCHO2	76.5
TMEM171	8.2
TMEM174	0.2
FOXD1	8.4
BTF3	455.9
ANKRA2	42.5
UTP15	28.5
ARHGEF28	79.2
ENC1	129.2
HEXB	102.2
GFM2	43.9
NSA2	31.5
FAM169A	4.6
GCNT4	2.5
ANKRD31	0.8
HMGCR	37.3
CERT1	54.5
POLK	82.7
ANKDD1B	25.7
POC5	43.0
SV2C	6.1
IQGAP2	11.3
F2RL2	1.0
F2R	24.8
F2RL1	82.1
S100Z	1.2
CRHBP	0.9
AGGF1	30.9
AC008581.2	0.7
ZBED3	9.4
AC022414.1	0.0
PDE8B	2.5
WDR41	39.2
OTP	0.0
TBCA	89.9
AP3B1	83.1
SCAMP1	44.9
LHFPL2	80.1
ARSB	15.3
DMGDH	2.0
BHMT2	4.4
BHMT	1.1
JMY	15.2
HOMER1	4.7
TENT2	170.7
CMYA5	2.7
MTX3	21.3
THBS4	2.8
SERINC5	82.9
SPZ1	0.1
ZFYVE16	89.3
FAM151B	10.9
ANKRD34B	0.0
DHFR	15.0
MSH3	43.9
RASGRF2	8.2
CKMT2	29.0
ZCCHC9	36.4
ACOT12	0.3
SSBP2	54.3
ATG10	75.0
RPS23	443.5
ATP6AP1L	8.9
TMEM167A	76.5
XRCC4	66.5
VCAN	260.4
HAPLN1	0.2
EDIL3	17.6
COX7C	231.0
RASA1	70.2
CCNH	115.1
TMEM161B	64.2
MEF2C	44.0
CETN3	22.0
MBLAC2	7.2
POLR3G	6.4
LYSMD3	33.0
ADGRV1	16.0
ARRDC3	173.1
NR2F1	4.6
FAM172A	36.0
POU5F2	11.1
KIAA0825	21.3
SLF1	15.4
MCTP1	18.0
FAM81B	0.5
TTC37	81.3
ARSK	4.3
GPR150	0.2
RFESD	2.0
SPATA9	1.4
RHOBTB3	23.6
GLRX	47.2
ELL2	44.2
PCSK1	1.6
CAST	566.0
ERAP1	126.6
ERAP2	41.6
LNPEP	94.6
LIX1	0.2
RIOK2	25.5
RGMB	16.2
CHD1	102.3
FAM174A	21.9
ST8SIA4	10.1
SLCO4C1	0.5
SLCO6A1	0.0
PAM	123.6
GIN1	13.6
PPIP5K2	102.1
MACIR	8.4
NUDT12	30.0
EFNA5	76.3
FBXL17	37.3
FER	36.5
PJA2	133.0
MAN2A1	90.0
TMEM232	6.4
SLC25A46	63.9
TSLP	0.0
WDR36	43.2
CAMK4	0.7
STARD4	11.4
NREP	37.9
EPB41L4A	10.5
APC	72.3
AC008575.1	0.0
SRP19	93.1
REEP5	116.8
DCP2	72.8
MCC	23.5
TSSK1B	0.1
YTHDC2	55.0
KCNN2	0.5
TRIM36	25.8
PGGT1B	34.5
CCDC112	14.4
FEM1C	42.0
TICAM2	4.2
TMED7-TICAM2	20.3
TMED7	114.2
CDO1	0.5
ATG12	119.0
AP3S1	64.4
LVRN	1.1
ARL14EPL	0.0
COMMD10	51.9
SEMA6A	19.3
DTWD2	5.7
DMXL1	69.3
TNFAIP8	73.8
HSD17B4	85.6
FAM170A	0.2
PRR16	2.1
FTMT	0.0
SRFBP1	27.5
LOX	17.7
ZNF474	0.7
AC010255.3	0.0
SNCAIP	3.4
SNX2	55.2
SNX24	42.8
PPIC	41.8
PRDM6	1.4
CEP120	37.8
CSNK1G3	61.3
ZNF608	6.2
GRAMD2B	84.1
ALDH7A1	58.0
PHAX	25.2
TEX43	0.1
LMNB1	24.6
MARCHF3	15.0
C5orf63	22.8
MEGF10	0.2
PRRC1	54.0
CTXN3	0.0
CCDC192	4.3
SLC12A2	17.3
FBN2	2.9
SLC27A6	0.0
ISOC1	16.6
ADAMTS19	0.0
MINAR2	0.1
CHSY3	3.0
HINT1	195.6
LYRM7	8.3
CDC42SE2	95.7
RAPGEF6	50.7
AC008695.1	0.0
FNIP1	56.7
MEIKIN	1.2
AC034228.3	0.0
ACSL6	0.0
IL3	0.0
CSF2	2.3
P4HA2	85.0
PDLIM4	4.2
SLC22A4	11.2
SLC22A5	21.3
AC116366.3	6.0
IRF1	145.3
IL5	4.0
RAD50	76.8
IL13	0.1
IL4	0.0
KIF3A	20.0
CCNI2	4.4
SEPTIN8	81.3
SOWAHA	1.4
SHROOM1	74.7
GDF9	1.0
UQCRQ	87.4
LEAP2	17.4
AFF4	127.3
ZCCHC10	25.1
HSPA4	67.9
FSTL4	0.4
C5orf15	145.7
VDAC1	382.6
TCF7	71.1
SKP1	146.5
AC104109.3	0.0
PPP2CA	78.6
CDKL3	4.0
UBE2B	91.9
CDKN2AIPNL	22.7
JADE2	127.7
SAR1B	91.0
SEC24A	53.1
CAMLG	23.4
DDX46	93.6
C5orf24	57.1
TXNDC15	59.3
PCBD2	54.2
CATSPER3	9.5
PITX1	37.4
MACROH2A1	278.1
DCANP1	0.1
TIFAB	0.5
NEUROG1	0.0
CXCL14	0.7
SLC25A48	0.3
IL9	0.0
LECT2	0.0
TGFBI	293.4
SMAD5	59.2
SMIM32	1.1
TRPC7	0.1
SPOCK1	15.7
KLHL3	32.8
HNRNPA0	25.1
MYOT	3.4
PKD2L2	3.3
FAM13B	80.4
WNT8A	0.0
NME5	11.4
BRD8	113.2
KIF20A	20.3
CDC23	43.6
GFRA3	0.5
CDC25C	7.3
FAM53C	36.5
KDM3B	116.4
REEP2	1.6
EGR1	19.3
ETF1	85.6
HSPA9	165.6
CTNNA1	562.8
LRRTM2	20.5
SIL1	69.7
MATR3	211.2
PAIP2	69.0
SLC23A1	6.5
MZB1	13.8
PROB1	7.2
SPATA24	20.9
DNAJC18	7.2
AC142391.1	0.0
ECSCR	12.0
SMIM33	1.7
STING1	169.5
UBE2D2	94.3
CXXC5	15.0
PSD2	0.4
NRG2	0.2
PURA	36.4
IGIP	20.9
CYSTM1	269.1
PFDN1	87.8
HBEGF	22.7
SLC4A9	0.4
ANKHD1	166.9
ANKHD1-EIF4EBP3	53.1
SRA1	53.9
EIF4EBP3	1.8
APBB3	39.0
SLC35A4	36.4
CD14	34.9
NDUFA2	55.1
TMCO6	39.9
IK	184.9
WDR55	57.4
DND1	0.0
HARS1	96.4
HARS2	71.3
ZMAT2	67.9
PCDHA1	0.0
PCDHA2	0.8
PCDHA3	1.4
PCDHA4	2.0
PCDHA5	1.9
PCDHA6	2.3
PCDHA7	1.9
PCDHA8	2.4
PCDHA9	3.1
PCDHA10	29.8
PCDHA11	25.3
PCDHA12	18.4
PCDHA13	4.7
PCDHAC1	11.8
PCDHAC2	11.9
PCDHB1	0.2
PCDHB2	1.7
PCDHB3	2.1
PCDHB4	0.9
PCDHB5	1.4
PCDHB6	0.6
PCDHB7	1.0
PCDHB8	4.2
PCDHB16	22.9
PCDHB9	39.1
PCDHB10	37.0
PCDHB11	41.9
PCDHB12	48.7
PCDHB13	27.5
PCDHB14	26.2
AC244517.10	0.0
PCDHB15	20.1
TAF7	147.0
SLC25A2	2.9
PCDHGA1	16.4
PCDHGA2	8.1
PCDHGA3	5.4
PCDHGB1	8.6
PCDHGA4	10.8
PCDHGB2	8.3
PCDHGA5	7.4
PCDHGB3	6.2
PCDHGA6	11.2
PCDHGA7	48.3
PCDHGB4	50.9
PCDHGA8	28.6
PCDHGB5	26.1
PCDHGA9	37.1
PCDHGB6	26.2
PCDHGA10	29.1
PCDHGB7	23.0
PCDHGA11	26.7
PCDHGA12	16.7
PCDHGC3	32.5
PCDHGC4	17.4
PCDHGC5	7.8
DIAPH1	213.9
HDAC3	65.6
RELL2	2.6
FCHSD1	58.2
ARAP3	31.9
PCDH1	386.9
DELE1	84.5
PCDH12	11.8
RNF14	82.5
GNPDA1	50.4
NDFIP1	111.5
SPRY4	132.3
FGF1	7.0
ARHGAP26	154.0
NR3C1	75.3
HMHB1	0.0
YIPF5	54.9
KCTD16	0.1
PRELID2	93.6
GRXCR2	0.0
SH3RF2	88.3
PLAC8L1	3.7
LARS1	104.2
AC091959.3	3.9
RBM27	37.2
POU4F3	0.0
TCERG1	154.8
GPR151	1.5
PPP2R2B	0.5
STK32A	3.7
DPYSL3	66.0
JAKMIP2	0.5
SPINK1	260.7
SCGB3A2	6.1
C5orf46	14.6
SPINK5	20.1
SPINK14	0.0
SPINK6	0.0
MARCOL	4.6
SPINK13	33.6
SPINK7	1.6
SPINK9	2.1
FBXO38	119.0
HTR4	0.0
ADRB2	4.7
SH3TC2	128.9
ABLIM3	31.8
AFAP1L1	17.2
GRPEL2	22.5
PCYOX1L	13.7
IL17B	0.3
CSNK1A1	307.3
ARHGEF37	13.6
PPARGC1B	8.2
PDE6A	1.0
SLC26A2	31.5
TIGD6	8.1
HMGXB3	83.0
CSF1R	62.2
PDGFRB	131.3
CDX1	0.4
SLC6A7	0.6
CAMK2A	0.8
ARSI	3.0
TCOF1	45.7
CD74	1265.8
RPS14	257.8
NDST1	64.0
SYNPO	74.5
MYOZ3	0.9
RBM22	82.8
DCTN4	89.8
SMIM3	8.1
IRGM	1.0
ZNF300	10.4
GPX3	74.6
TNIP1	270.8
ANXA6	46.6
CCDC69	9.4
GM2A	62.9
SLC36A3	0.0
SLC36A2	0.0
SLC36A1	42.0
FAT2	1.2
SPARC	707.5
ATOX1	123.5
G3BP1	122.2
GLRA1	2.7
NMUR2	52.8
GRIA1	0.1
FAM114A2	23.6
MFAP3	78.4
GALNT10	123.2
SAP30L	29.9
HAND1	0.0
LARP1	168.8
FAXDC2	126.3
CNOT8	76.2
GEMIN5	18.3
MRPL22	17.1
KIF4B	0.2
SGCD	3.3
PPP1R2B	0.9
TIMD4	9.7
HAVCR1	87.5
HAVCR2	25.9
MED7	27.6
ITK	1.4
FAM71B	0.0
CYFIP2	20.1
AC008676.3	2.0
FNDC9	0.0
ADAM19	52.3
NIPAL4	2.4
SOX30	1.8
C5orf52	1.4
THG1L	8.3
LSM11	7.5
CLINT1	124.7
EBF1	9.5
RNF145	75.3
UBLCP1	39.4
IL12B	0.2
ADRA1B	2.1
TTC1	59.2
PWWP2A	56.3
FABP6	14.8
CCNJL	6.9
C1QTNF2	0.6
ZBED8	13.6
SLU7	53.8
PTTG1	35.6
ATP10B	4.2
GABRB2	0.0
GABRA6	0.0
GABRA1	0.0
GABRG2	0.0
CCNG1	97.2
NUDCD2	15.9
HMMR	9.6
MAT2B	58.3
TENM2	0.5
WWC1	73.1
RARS1	110.9
FBLL1	0.8
PANK3	56.5
SLIT3	4.7
SPDL1	45.5
DOCK2	31.9
INSYN2B	3.4
FOXI1	0.4
C5orf58	3.6
LCP2	46.6
KCNIP1	1.9
KCNMB1	5.4
GABRP	3.8
RANBP17	77.7
TLX3	0.0
NPM1	377.9
FGF18	0.7
SMIM23	0.7
FBXW11	99.1
STK10	72.8
EFCAB9	1.0
UBTD2	23.7
SH3PXD2B	26.3
NEURL1B	12.8
DUSP1	50.2
ERGIC1	180.1
RPL26L1	38.3
ATP6V0E1	119.5
CREBRF	44.0
BNIP1	11.7
NKX2-5	0.0
STC2	3.9
BOD1	54.3
CPEB4	60.7
C5orf47	0.0
NSG2	0.0
MSX2	8.0
DRD1	5.6
SFXN1	50.0
HRH2	1.9
CPLX2	3.5
THOC3	49.8
FAM153B	0.8
AC139491.7	0.0
SIMC1	20.7
KIAA1191	91.1
ARL10	21.6
NOP16	42.1
HIGD2A	68.7
CLTB	279.1
FAF2	66.6
RNF44	52.9
CDHR2	424.6
GPRIN1	40.7
SNCB	0.0
EIF4E1B	0.0
TSPAN17	42.3
UNC5A	0.8
HK3	11.1
UIMC1	73.1
ZNF346	42.3
FGFR4	80.3
NSD1	91.0
RAB24	27.6
MXD3	39.1
PRELID1	105.1
LMAN2	300.8
RGS14	35.1
SLC34A1	0.0
PFN3	0.0
F12	2.9
GRK6	39.5
PRR7	1.9
DBN1	73.2
PDLIM7	365.5
DOK3	23.9
DDX41	64.6
FAM193B	134.2
TMED9	126.3
B4GALT7	95.5
FAM153A	0.8
PROP1	0.0
N4BP3	5.3
RMND5B	64.6
NHP2	41.2
GMCL2	0.1
HNRNPAB	123.5
PHYKPL	281.0
COL23A1	0.5
CLK4	69.2
AC113348.1	0.0
AC113348.2	0.2
ZNF354A	15.2
ZNF354B	35.0
ZFP2	1.8
ZNF454	1.7
GRM6	0.6
ZNF879	7.5
ZNF354C	5.5
ADAMTS2	28.9
RUFY1	108.7
HNRNPH1	1262.7
CBY3	0.5
CANX	579.6
MAML1	43.3
LTC4S	5.7
MGAT4B	415.8
SQSTM1	626.3
MRNIP	105.2
TBC1D9B	200.4
RNF130	58.5
RASGEF1C	0.2
MAPK9	58.5
GFPT2	28.4
CNOT6	42.2
SCGB3A1	0.5
FLT4	5.3
OR2Y1	0.0
MGAT1	104.9
ZFP62	61.9
BTNL8	7.3
BTNL3	0.8
BTNL9	5.8
OR2V1	0.0
OR2V2	0.0
TRIM7	11.7
TRIM41	46.9
RACK1	974.7
TRIM52	55.0
OR4F3	1.6
DUSP22	71.8
IRF4	1.7
EXOC2	55.5
HUS1B	2.6
FOXQ1	48.4
FOXF2	1.5
FOXC1	35.8
GMDS	35.2
MYLK4	2.0
WRNIP1	46.0
SERPINB1	218.1
SERPINB9	60.5
SERPINB6	382.4
NQO2	45.0
RIPK1	76.8
BPHL	20.7
TUBB2A	81.6
TUBB2B	18.5
PSMG4	74.9
SLC22A23	102.3
PXDC1	73.5
FAM50B	10.5
PRPF4B	85.3
FAM217A	14.6
C6orf201	4.2
ECI2	48.3
CDYL	35.7
RPP40	2.7
PPP1R3G	2.0
LYRM4	9.4
FARS2	40.6
NRN1	1.8
F13A1	9.4
LY86	12.8
RREB1	98.0
SSR1	62.2
CAGE1	0.1
RIOK1	23.8
DSP	291.4
