gene_list	this_sample
PNRC2	90.1
SRSF10	158.5
MYOM3	30.0
IL22RA1	47.7
IFNLR1	15.5
GRHL3	1.4
STPG1	13.7
NIPAL3	35.4
RCAN3	14.2
NCMAP	2.2
SRRM1	81.6
CLIC4	78.7
RUNX3	32.4
SYF2	30.1
RSRP1	182.1
RHD	3.5
TMEM50A	76.3
RHCE	0.9
MACO1	24.8
LDLRAP1	26.3
MAN1C1	2.3
SELENON	63.6
AL020996.2	1.1
MTFR1L	38.8
AUNIP	4.0
PAQR7	8.8
STMN1	73.3
PAFAH2	12.8
EXTL1	0.3
SLC30A2	0.0
TRIM63	0.0
PDIK1L	6.4
FAM110D	0.5
C1orf232	0.0
AL391650.1	0.6
ZNF593	9.6
CNKSR1	43.3
CATSPER4	0.3
CEP85	19.4
SH3BGRL3	502.3
UBXN11	52.6
CD52	57.6
CRYBG2	21.0
ZNF683	0.8
LIN28A	0.0
DHDDS	72.5
HMGN2	197.8
RPS6KA1	53.5
ARID1A	71.8
PIGV	4.1
ZDHHC18	17.8
SFN	95.0
GPN2	19.2
GPATCH3	11.7
NUDC	67.2
NR0B2	8.6
KDF1	3.3
TRNP1	100.2
TENT5B	4.9
SLC9A1	47.7
WDTC1	28.5
TMEM222	32.4
SYTL1	17.8
MAP3K6	25.1
FCN3	2.4
CD164L2	0.0
GPR3	0.3
WASF2	94.9
AHDC1	16.6
FGR	20.1
IFI6	188.3
FAM76A	16.8
STX12	46.7
PPP1R8	26.3
THEMIS2	17.4
RPA2	20.9
SMPDL3B	2.6
XKR8	8.1
EYA3	25.9
PTAFR	11.7
DNAJC8	47.3
ATP5IF1	68.4
SESN2	9.1
MED18	13.8
PHACTR4	24.7
RCC1	19.1
TRNAU1AP	23.4
TAF12	15.6
RAB42	8.6
GMEB1	6.7
YTHDF2	58.9
OPRD1	0.0
EPB41	46.8
TMEM200B	3.0
SRSF4	67.2
MECR	21.7
PTPRU	28.4
MATN1	0.1
LAPTM5	144.0
SDC3	29.7
PUM1	76.5
NKAIN1	0.0
SNRNP40	36.7
ZCCHC17	19.8
FABP3	23.7
SERINC2	121.5
TINAGL1	163.4
HCRTR1	1.9
PEF1	44.8
COL16A1	79.5
ADGRB2	2.1
SPOCD1	15.6
PTP4A2	167.7
KHDRBS1	120.4
TMEM39B	9.8
KPNA6	32.2
TXLNA	53.0
CCDC28B	18.8
IQCC	15.6
DCDC2B	10.2
TMEM234	44.4
EIF3I	93.3
FAM167B	2.6
LCK	5.5
HDAC1	147.0
MARCKSL1	128.8
TSSK3	7.9
FAM229A	8.6
BSDC1	70.1
AL033529.1	0.0
ZBTB8B	0.0
ZBTB8A	3.9
ZBTB8OS	39.1
RBBP4	55.4
SYNC	1.5
KIAA1522	68.1
YARS1	37.3
S100PBP	57.1
FNDC5	3.5
HPCA	0.7
TMEM54	16.2
RNF19B	71.6
AK2	72.4
AZIN2	14.0
TRIM62	4.9
ZNF362	27.1
A3GALT2	0.4
PHC2	71.8
ZSCAN20	10.2
CSMD2	1.7
HMGB4	0.0
C1orf94	0.0
SMIM12	24.5
GJB5	11.4
GJB4	14.8
GJB3	32.0
GJA4	8.6
DLGAP3	0.1
AC114490.3	4.1
AC114490.2	5.6
TMEM35B	8.4
ZMYM6	31.1
ZMYM1	20.9
SFPQ	351.7
ZMYM4	40.9
KIAA0319L	89.5
NCDN	14.1
TFAP2E	1.7
PSMB2	27.0
C1orf216	10.8
CLSPN	3.9
AGO4	31.0
AGO1	14.5
AGO3	23.8
TEKT2	0.5
ADPRS	22.1
COL8A2	8.7
TRAPPC3	39.0
MAP7D1	47.5
THRAP3	90.1
SH3D21	83.4
EVA1B	0.1
STK40	42.0
LSM10	12.7
OSCP1	10.1
MRPS15	32.3
CSF3R	26.4
GRIK3	0.0
ZC3H12A	50.7
MEAF6	39.0
SNIP1	15.2
DNALI1	6.1
GNL2	54.3
RSPO1	0.0
C1orf109	11.5
CDCA8	12.2
EPHA10	22.9
MANEAL	7.3
YRDC	10.8
C1orf122	11.9
MTF1	10.3
INPP5B	18.8
SF3A3	56.9
FHL3	28.0
UTP11	21.2
POU3F1	0.0
RRAGC	23.0
MYCBP	16.2
AL139260.3	4.6
GJA9	0.3
RHBDL2	9.6
AKIRIN1	37.8
NDUFS5	83.0
MACF1	409.9
BMP8A	13.9
PABPC4	102.8
HEYL	17.7
NT5C1A	0.0
HPCAL4	0.0
PPIE	25.7
BMP8B	7.4
OXCT2	1.5
TRIT1	18.3
MYCL	2.2
MFSD2A	6.1
CAP1	239.5
PPT1	63.9
RLF	17.5
TMCO2	0.0
ZMPSTE24	37.1
COL9A2	5.2
SMAP2	28.0
ZFP69B	4.4
ZFP69	8.0
EXO5	8.5
ZNF684	3.8
RIMS3	3.9
NFYC	42.9
KCNQ4	4.2
CITED4	4.9
CTPS1	22.6
SLFNL1	4.4
SCMH1	39.1
FOXO6	0.4
EDN2	0.0
HIVEP3	19.2
AC119676.1	0.0
GUCA2B	2.2
GUCA2A	0.2
FOXJ3	32.3
RIMKLA	2.0
ZMYND12	1.3
PPCS	33.8
CCDC30	17.0
PPIH	23.9
YBX1	205.1
CLDN19	0.0
P3H1	38.0
C1orf50	12.8
AC098484.3	1.9
TMEM269	1.7
SVBP	12.8
ERMAP	18.1
ZNF691	15.6
SLC2A1	112.6
FAM183A	13.2
EBNA1BP2	43.1
CFAP57	0.5
TMEM125	0.9
C1orf210	3.2
TIE1	8.3
MPL	0.4
CDC20	12.4
ELOVL1	101.6
MED8	35.9
SZT2	76.6
HYI	1.9
PTPRF	112.9
KDM4A	35.9
AL451062.4	0.0
ST3GAL3	26.7
ARTN	0.9
IPO13	21.8
DPH2	20.7
ATP6V0B	85.1
B4GALT2	14.4
CCDC24	23.1
SLC6A9	8.5
KLF17	0.0
KLF18	0.0
DMAP1	38.1
ERI3	44.1
RNF220	37.4
TMEM53	15.0
ARMH1	1.1
KIF2C	8.5
RPS8	360.7
BEST4	0.6
PLK3	69.8
TCTEX1D4	7.7
BTBD19	42.8
PTCH2	3.2
EIF2B3	15.5
HECTD3	45.0
UROD	63.9
ZSWIM5	6.5
HPDL	1.8
MUTYH	30.9
AL451136.1	0.0
TOE1	16.6
TESK2	6.3
CCDC163	0.7
MMACHC	5.7
PRDX1	329.8
AKR1A1	97.1
NASP	54.3
CCDC17	9.2
GPBP1L1	101.6
TMEM69	18.8
IPP	22.6
MAST2	64.7
PIK3R3	7.9
P3R3URF-PIK3R3	0.0
TSPAN1	632.2
P3R3URF	0.0
POMGNT1	64.9
LURAP1	1.3
RAD54L	6.8
LRRC41	51.7
UQCRH	83.8
NSUN4	22.4
FAAH	11.8
DMBX1	0.0
TMEM275	0.0
KNCN	0.0
MKNK1	64.6
MOB3C	15.0
ATPAF1	24.0
TEX38	2.3
EFCAB14	82.9
CYP4B1	0.0
CYP4A11	0.4
CYP4X1	1.2
CYP4Z1	1.8
CYP4A22	1.3
PDZK1IP1	50.0
TAL1	1.0
STIL	10.8
CMPK1	128.5
FOXE3	0.3
FOXD2	4.6
TRABD2B	2.6
SLC5A9	3.3
SPATA6	11.8
AGBL4	0.2
BEND5	0.4
ELAVL4	1.3
DMRTA2	0.1
FAF1	21.8
CDKN2C	12.2
C1orf185	0.0
RNF11	11.8
TTC39A	11.2
EPS15	62.4
OSBPL9	85.8
NRDC	102.0
RAB3B	6.1
TXNDC12	54.8
AL445685.3	2.3
KTI12	6.0
BTF3L4	32.1
ZFYVE9	17.9
CC2D1B	52.5
ORC1	2.9
PRPF38A	16.8
TUT4	46.8
GPX7	14.9
SHISAL2A	1.4
COA7	7.2
ZYG11B	15.1
ZYG11A	1.0
ECHDC2	176.6
SCP2	86.9
PODN	15.1
SLC1A7	8.4
CPT2	17.6
CZIB	41.5
MAGOH	31.5
LRP8	12.5
DMRTB1	0.0
GLIS1	0.2
NDC1	10.4
YIPF1	30.6
DIO1	4.4
HSPB11	34.6
LRRC42	20.0
LDLRAD1	0.0
TMEM59	82.3
TCEANC2	3.1
AL357673.1	0.4
CDCP2	0.0
CYB5RL	3.8
MRPL37	32.8
SSBP3	34.7
ACOT11	19.9
FAM151A	1.9
MROH7	2.4
MROH7-TTC4	7.3
TTC4	8.8
PARS2	4.8
TTC22	58.8
LEXM	6.9
DHCR24	30.9
TMEM61	0.1
BSND	0.2
PCSK9	1.0
USP24	60.1
AC119674.2	4.2
PLPP3	22.4
PRKAA2	3.5
FYB2	0.0
C8A	0.0
C8B	0.0
DAB1	0.6
OMA1	20.1
TACSTD2	43.4
MYSM1	61.1
JUN	103.7
FGGY	20.8
HOOK1	6.5
CYP2J2	1.2
C1orf87	0.0
NFIA	24.9
TM2D1	58.5
PATJ	59.0
L1TD1	0.8
KANK4	3.1
USP1	23.8
DOCK7	60.8
ANGPTL3	4.3
ATG4C	6.6
FOXD3	0.0
ALG6	19.8
ITGB3BP	28.2
EFCAB7	12.7
PGM1	46.7
ROR1	9.8
UBE2U	0.0
